"","date","GNPannGrowth15","TenYrQrt.T10yrq","FiveYrQrt.T5yrq","TbillQrt.T3moq","TbillQrtSec.T3moqs","TS5","TS5sec","TS10","TS10sec"
"105",1979-04-01,-0.0174812079747988,0.0918,0.0925,0.0946,0.0946,-0.0019203517400725,-0.0019203517400725,-0.00256128936216043,-0.00256128936216043
"106",1979-07-01,-0.00418674250223113,0.0895,0.089,0.0924,0.0924,-0.00311726666658958,-0.00311726666658958,-0.00265823521487554,-0.00265823521487554
"107",1979-10-01,0.0133832158490274,0.103,0.1063,0.117,0.117,-0.00962540602833549,-0.00962540602833549,-0.0126127798156982,-0.0126127798156982
"108",1980-01-01,0.0270763342566987,0.108,0.1074,0.12,0.12,-0.0113137599002735,-0.0113137599002735,-0.0107720969819111,-0.0107720969819111
"109",1980-04-01,0.0417076677706436,0.1147,0.1184,0.132,0.132,-0.0120868872835824,-0.0120868872835824,-0.0154006693675505,-0.0154006693675505
"110",1980-07-01,0.0147391693425276,0.1025,0.0953,0.0806,0.0806,0.0135118559197355,0.0135118559197355,0.0200638859110356,0.0200638859110356
"111",1980-10-01,-0.0233181568897325,0.1175,0.1186,0.1162,0.1162,0.00214784403315439,0.00214784403315439,0.00116398813339061,0.00116398813339061
"112",1981-01-01,-0.00897311204782501,0.1257,0.1277,0.1502,0.1502,-0.0197556800414118,-0.0197556800414118,-0.0215307759188955,-0.0215307759188955
"113",1981-04-01,-0.0260315864338562,0.1368,0.1399,0.1369,0.1369,0.0026352791076718,0.0026352791076718,-8.79623521700428e-05,-8.79623521700428e-05
"114",1981-07-01,-0.0153498388717453,0.1428,0.1479,0.1495,0.1495,-0.00139287913178522,-0.00139287913178522,-0.00584567384661821,-0.00584567384661821
"115",1981-10-01,0.0147085765732728,0.1515,0.1541,0.1354,0.1354,0.0163358076897333,0.0163358076897333,0.0140804285241141,0.0140804285241141
"116",1982-01-01,0.0313261446172892,0.1459,0.1465,0.1292,0.1228,0.0152044059186249,0.0208882578102317,0.0146809370530681,0.020364788944675
"117",1982-04-01,0.0572790341098839,0.1387,0.14,0.1334,0.127,0.00580629765302251,0.011469027348765,0.00466529608104061,0.010328025776783
"118",1982-07-01,0.0786561199221434,0.1395,0.1407,0.1186,0.1135,0.0195642056463647,0.0241339013364299,0.0185116662982513,0.0230813619883167
"119",1982-10-01,0.0850622263166567,0.1091,0.108,0.0797,0.0771,0.0258733635541346,0.0282843439505048,0.0268656508576012,0.0292766312539714
"120",1983-01-01,0.0789192526252351,0.1046,0.1003,0.0812,0.0786,0.0175113344735746,0.0199189659727403,0.0214117430647947,0.0238193745639605
"121",1983-04-01,0.0684126903614742,0.104,0.1002,0.0851,0.0821,0.0138198328151958,0.0165883838637548,0.0172677992108788,0.0200363502594376
"122",1983-07-01,0.0538367133293581,0.1138,0.1121,0.0945,0.0908,0.0159524818618786,0.019338747853363,0.0174799541926504,0.0208662201841347
"123",1983-10-01,0.0426367571026048,0.1154,0.1128,0.0899,0.0864,0.0207934127139671,0.0240098838048014,0.0231271360601873,0.0263436071510216
"124",1984-01-01,0.0344165127797726,0.1167,0.1137,0.0926,0.089,0.0191276284374372,0.0224279614660941,0.0218177304901292,0.0251180635187859
"125",1984-04-01,0.0391291065897628,0.1263,0.1237,0.1007,0.0969,0.0206804708845105,0.0241387924965681,0.0229915830243049,0.0264499046363625
"126",1984-07-01,0.040396559440181,0.1336,0.1327,0.1053,0.1012,0.0244873718897583,0.0282036689382158,0.025281618059561,0.0289979151080184
"127",1984-10-01,0.040842309259818,0.1216,0.1206,0.1012,0.0974,0.017463761862732,0.0209205105063093,0.0183557430118733,0.0218124916554507
"128",1985-01-01,0.0342540050218934,0.1138,0.1093,0.0802,0.0776,0.0265829765858231,0.0289928396484598,0.0306313829967774,0.033041246059414
"129",1985-04-01,0.0304265932349814,0.1143,0.1101,0.0822,0.0795,0.0254540951299665,0.0279521303837395,0.0292303988443733,0.0317284340981462
"130",1985-07-01,0.0259947547248033,0.1031,0.097,0.0732,0.0708,0.0219343417237613,0.0241731486290328,0.0274795584238671,0.0297183653291386
"131",1985-10-01,0.0248499826753322,0.1024,0.0969,0.074,0.0716,0.0210980233484784,0.0233351607468346,0.0260996251905842,0.0283367625889403
"132",1986-01-01,0.0339200078202335,0.0919,0.0868,0.073,0.0707,0.0127791349214943,0.0149249583879684,0.0174608343893223,0.0196066578557964
"133",1986-04-01,0.0322907167149515,0.073,0.0705,0.0624,0.0606,0.007595329307568,0.00929104332670785,0.00992796390852894,0.0116236779276689
"134",1986-07-01,0.0456849014499007,0.073,0.0706,0.06,0.0583,0.00995033085316809,0.0115553918596022,0.0121895555245855,0.0137946165310195
"135",1986-10-01,0.0449341916928085,0.0743,0.0683,0.0532,0.0518,0.0142354513296876,0.0155656177965979,0.0198361380503424,0.0211663045172529
"136",1987-01-01,0.0457179993147884,0.0708,0.0664,0.0558,0.0543,0.00998971647498308,0.011411450281595,0.0141072592566814,0.0155289930632934
"137",1987-04-01,0.0418652954185273,0.0802,0.0757,0.0582,0.0564,0.0164022609679284,0.0181047110149826,0.0205768576887595,0.0222793077358136
"138",1987-07-01,0.0386025403491608,0.0845,0.0801,0.0588,0.0569,0.0199174380714824,0.021713534409127,0.023982859913983,0.0257789562516275
"139",1987-10-01,0.0420064779781764,0.0952,0.0908,0.0635,0.0613,0.0253460163311417,0.0274168002036567,0.0293716393339472,0.0314424232064624
"140",1988-01-01,0.0368141103686355,0.0867,0.0818,0.06,0.0581,0.0203574123312139,0.0221514735272107,0.024876672962693,0.0266707341586899
"141",1988-04-01,0.0395596066127639,0.0872,0.0819,0.0608,0.0591,0.0196954142619298,0.0212992638439042,0.0245822434053358,0.0261860929873105
"142",1988-07-01,0.0288556796587997,0.0906,0.0866,0.0695,0.0673,0.0158623055949623,0.0179214601975036,0.0195367539695008,0.021595908572042
"143",1988-10-01,0.0295205084030988,0.088,0.0851,0.076,0.0735,0.00842168690443209,0.0107478103073263,0.0110906866941581,0.0134168100970523
"144",1989-01-01,0.025926409541371,0.0909,0.0915,0.0856,0.0827,0.00542006746933911,0.00809497567314598,0.00487021408305167,0.00754512228685838
"145",1989-04-01,0.0173168015493054,0.0918,0.093,0.0896,0.0865,0.0031155527812908,0.00596468848005424,0.00201705395240952,0.00486618965117291
"146",1989-07-01,0.00923873559876355,0.0802,0.0783,0.0815,0.0788,-0.0029632395050867,-0.000463585377548128,-0.00120275723432257,0.00129689689321592
"147",1989-10-01,-0.00789165825506916,0.0801,0.0797,0.079,0.0764,0.000648538494960007,0.00306108490034394,0.00101894316629396,0.00343148957167765
"148",1990-01-01,-0.00615785122988257,0.0821,0.0812,0.079,0.0764,0.00203684914415776,0.00444939554954165,0.00286891131946839,0.00528145772485238
"149",1990-04-01,-0.00139923363857318,0.0879,0.0877,0.0804,0.0777,0.0067340321813439,0.00923623449701842,0.00691788950857648,0.00942009182425088
"150",1990-07-01,0.00904666959398102,0.0847,0.0833,0.0787,0.0762,0.00425532557013827,0.00657561989620234,0.00554683866478852,0.00786713299085256
"151",1990-10-01,0.0275815919303506,0.0872,0.0833,0.074,0.0717,0.00862194188271157,0.0107657652325703,0.0122155877681239,0.0143594111179825
"152",1991-01-01,0.0326796155556828,0.0809,0.077,0.0641,0.0622,0.0120500267087028,0.0138371691680898,0.0156646559744714,0.0174517984338584
"153",1991-04-01,0.0378807067475125,0.0804,0.077,0.0583,0.0565,0.0175155510567096,0.0192178401002772,0.0206674958187817,0.0223697848623492
"154",1991-07-01,0.0425366520065624,0.0827,0.0791,0.0575,0.0558,0.0202197284492547,0.021828586980172,0.0235502893964195,0.0251591479273367
"155",1991-10-01,0.0335591598164757,0.0753,0.0687,0.0514,0.0499,0.0163203471455033,0.0177480350099555,0.0224770830111328,0.0239047708755849
"156",1992-01-01,0.0275061399559487,0.0703,0.0624,0.0391,0.038,0.0221755458635685,0.0232347149963355,0.029584029131729,0.0306431982644959
"157",1992-04-01,0.0238612698728162,0.0748,0.0678,0.0384,0.0375,0.0279193901162604,0.0287864839612324,0.0344535307915107,0.0353206246364827
"158",1992-07-01,0.0247822002953361,0.0684,0.0584,0.0328,0.0321,0.0244847732683132,0.0251627722288582,0.0338886417033731,0.0345666406639182
"159",1992-10-01,0.0327346562363288,0.0659,0.056,0.0293,0.0286,0.0256092257336931,0.0262895309253911,0.0349405531625774,0.0356208583542753
"160",1993-01-01,0.0409956732264265,0.066,0.0583,0.0307,0.03,0.0264256640569319,0.0271050448759973,0.0336751426830428,0.0343545235021084
"161",1993-04-01,0.0409706325423011,0.0597,0.0513,0.0293,0.0287,0.0211485340492713,0.0217316244448007,0.0291068896482766,0.0296899800438061
"162",1993-07-01,0.0410934357233676,0.0581,0.0509,0.0311,0.0304,0.019020746347653,0.0196998635214617,0.0258486533862183,0.026527770560027
"163",1993-10-01,0.0347774518410432,0.0533,0.0471,0.0309,0.0302,0.0155922311910773,0.0162714801619314,0.0214958857401573,0.0221751347110113
"164",1994-01-01,0.0254032475959191,0.0575,0.0509,0.0304,0.0298,0.0196998635214617,0.0202823312595098,0.0259605555703441,0.0265430233083922
"165",1994-04-01,0.0264843564689155,0.0697,0.0652,0.0378,0.0368,0.0260594870061377,0.027023528341767,0.030275147378446,0.0312391887140751
"166",1994-07-01,0.023854772620194,0.073,0.0691,0.0446,0.0433,0.0231831360172557,0.0244284065455305,0.0268244266285001,0.0280696971567749
"167",1994-10-01,0.0266781492046327,0.0774,0.074,0.051,0.0495,0.0216479041918589,0.0230761358081223,0.0248086393694823,0.0262368709857454
"168",1995-01-01,0.0394924088643904,0.0778,0.0776,0.059,0.0571,0.0174112794947477,0.0192070363215369,0.01759685989799,0.019392616724779
"169",1995-04-01,0.0416803643335219,0.0706,0.0686,0.0584,0.0565,0.00959104672292507,0.0113878224675596,0.011460905158535,0.0132576809031694
"170",1995-07-01,0.0443907558630927,0.0628,0.0601,0.0559,0.0542,0.00396975946658323,0.00558105785794545,0.00651345107318968,0.00812474946455183
"171",1995-10-01,0.0435612401772868,0.0604,0.0586,0.0544,0.0528,0.00397539567564449,0.00549399885283441,0.00567431066662775,0.00719291384381781
"172",1996-01-01,0.0431558241445803,0.0565,0.0536,0.0515,0.05,0.00199515528631683,0.00342270727750236,0.00474384191335679,0.00617139390454222
"173",1996-04-01,0.0462396680809779,0.0651,0.063,0.0509,0.0495,0.011448159470397,0.0127812390812602,0.0134217515775692,0.0147548311884323
"174",1996-07-01,0.0418594684729467,0.0687,0.0664,0.053,0.0515,0.0126452567305236,0.0140707737217443,0.0147997233968756,0.0162252403880964
"175",1996-10-01,0.046323301426442,0.0653,0.0627,0.0512,0.0499,0.0108804706483034,0.0121179178577538,0.0133240808868058,0.0145615280962562
"176",1997-01-01,0.0395283767074592,0.0658,0.0633,0.0517,0.0503,0.0109693771310576,0.0123014420283107,0.0133177883366991,0.0146498532339523
"177",1997-04-01,0.0393272140998667,0.0689,0.0676,0.053,0.0516,0.0137699053963938,0.015100324674643,0.0149868491459246,0.0163172684241737
"178",1997-07-01,0.0493497304987009,0.0622,0.0612,0.0519,0.0505,0.00880229051835596,0.0101341019785295,0.00974417624307041,0.0110759877032438
"179",1997-10-01,0.0472996112457199,0.0603,0.0593,0.0511,0.0497,0.00777107777314161,0.00910390356069816,0.00871465210244391,0.0100474778900005
"180",1998-01-01,0.0467095880352811,0.0554,0.0542,0.0518,0.0504,0.00227920326586263,0.00361114143252003,0.00341685981632358,0.00474879798298096
"181",1998-04-01,0.0473767225627908,0.0564,0.0561,0.0508,0.0495,0.00503109894104409,0.00626901749174103,0.00531512261159243,0.00655304116228945
"182",1998-07-01,0.0490910322972249,0.0546,0.0546,0.0509,0.0496,0.00351460822481853,0.0047524089065447,0.00351460822481853,0.0047524089065447
"183",1998-10-01,0.0424238501393102,0.0453,0.0418,0.0407,0.0396,0.00105642266727744,0.00211396254375602,0.00441036189484766,0.00546790177132608
"184",1999-01-01,0.0531315771469837,0.0472,0.046,0.0445,0.0434,0.00143506362824777,0.00248875403657579,0.00258163359906968,0.00363532400739758
"185",1999-04-01,0.0411763112684072,0.0518,0.0508,0.0441,0.0429,0.00639650851532009,0.00754648468421761,0.0073477118591793,0.00849768802807665
"186",1999-07-01,0.0306480775912652,0.0579,0.0568,0.0469,0.0455,0.00941205788280635,0.0107502343394272,0.0104523946674198,0.0117905711240405
"187",1999-10-01,0.0237996050898031,0.0611,0.0603,0.0502,0.0486,0.00957126472799366,0.0110959457933202,0.0103254836757855,0.0118501647411121
"188",2000-01-01,0.0107326682627579,0.0666,0.0658,0.055,0.0532,0.0101849239525152,0.0118925422405276,0.0109352522563349,0.0126428705443476
"189",2000-04-01,0.00462592919258926,0.0599,0.0626,0.0582,0.0566,0.0041493835468114,0.0056625292866274,0.00160521256317793,0.00311835830299394
"190",2000-07-01,0.00528349061939011,0.0605,0.0618,0.0614,0.0596,0.000376789755776648,0.00207410275165642,-0.00084829638905736,0.000849016606822486
